"gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene1520",98,96,90,98,72,89
"Gene1521",47,97,116,204,82,147
"Gene1522",129,178,110,169,244,232
"Gene1523",133,176,123,86,147,95
"Gene1524",51,90,49,127,72,76
"Gene1525",159,227,115,69,158,125
"Gene1526",121,119,77,127,153,42
"Gene1527",30,38,71,85,44,65
"Gene1528",23,55,31,25,40,17
"Gene1529",78,55,47,70,28,115
"Gene1530",58,62,125,56,106,82
"Gene1531",127,62,126,139,92,85
"Gene1532",205,167,160,183,265,245
"Gene1533",62,47,139,65,55,60
"Gene1534",261,267,143,91,228,141
"Gene1535",189,216,167,209,169,162
"Gene1536",111,89,122,149,69,132
"Gene1537",50,55,72,33,85,38
"Gene1538",214,97,292,169,226,202
"Gene1539",102,72,122,93,58,60
"Gene1540",10,19,9,1,7,11
"Gene1541",134,130,49,73,88,122
"Gene1542",21,28,24,21,24,20
"Gene1543",156,224,75,155,148,78
"Gene1544",124,77,96,62,134,89
"Gene1545",186,239,102,142,238,218
"Gene1546",66,142,121,87,96,18
"Gene1547",153,142,123,128,114,83
"Gene1548",189,115,150,179,196,420
"Gene1549",13,18,21,13,28,27
"Gene1550",57,73,126,116,51,78
"Gene1551",118,137,92,106,128,86
"Gene1552",18,33,27,14,20,21
"Gene1553",58,89,32,72,44,17
"Gene1554",64,79,44,40,36,78
"Gene1555",51,37,23,29,14,33
"Gene1556",65,53,58,36,51,84
"Gene1557",4,6,18,11,4,7
"Gene1558",102,63,59,56,70,73
"Gene1559",33,31,19,47,33,31
"Gene1560",97,143,206,132,95,145
"Gene1561",35,56,41,62,127,36
"Gene1562",121,133,181,133,350,167
"Gene1563",59,36,43,42,57,54
"Gene1564",232,167,170,197,139,212
"Gene1565",164,155,146,137,140,273
"Gene1566",378,239,357,230,385,390
"Gene1567",145,142,131,157,83,85
"Gene1568",225,275,204,367,278,230
"Gene1569",138,128,299,190,183,165
"Gene1570",116,144,114,107,92,102
"Gene1571",93,107,122,105,92,98
"Gene1572",173,176,328,412,256,304
"Gene1573",11,11,15,24,10,32
"Gene1574",177,168,63,63,163,123
"Gene1575",37,62,18,46,53,86
"Gene1576",53,53,67,55,76,47
"Gene1577",52,32,25,48,35,38
"Gene1578",101,143,68,32,98,92
"Gene1579",41,54,37,67,57,56
"Gene1580",59,78,56,31,47,23
"Gene1581",132,108,170,184,244,90
"Gene1582",3,3,7,7,11,8
"Gene1583",44,33,56,42,35,18
"Gene1584",105,94,53,71,83,68
"Gene1585",90,75,87,54,82,146
"Gene1586",201,130,255,302,196,126
"Gene1587",46,33,68,32,45,48
"Gene1588",12,15,21,12,17,20
"Gene1589",70,55,50,74,31,32
"Gene1590",203,167,153,212,160,181
"Gene1591",457,433,346,357,219,286
"Gene1592",17,19,16,35,13,14
"Gene1593",237,214,280,201,174,187
"Gene1594",65,67,84,38,73,81
"Gene1595",145,95,83,73,94,195
"Gene1596",33,54,50,33,37,51
"Gene1597",121,136,170,98,102,93
"Gene1598",65,72,98,117,121,130
"Gene1599",51,21,61,17,72,40
"Gene1600",166,226,226,116,142,158
"Gene1601",328,205,108,123,161,128
"Gene1602",90,77,131,83,191,179
"Gene1603",46,40,24,28,47,40
"Gene1604",378,372,582,639,567,319
"Gene1605",61,90,77,40,46,34
"Gene1606",256,222,438,149,278,412
"Gene1607",36,38,39,58,28,28
"Gene1608",62,74,50,54,59,72
"Gene1609",257,147,160,133,228,168
"Gene1610",118,125,124,135,117,150
"Gene1611",72,52,48,56,94,40
"Gene1612",129,71,56,106,112,109
"Gene1613",190,133,95,119,85,186
"Gene1614",125,50,59,85,41,73
"Gene1615",66,45,77,121,109,83
"Gene1616",245,141,117,155,70,157
"Gene1617",180,134,224,141,188,105
"Gene1618",69,203,145,94,64,121
"Gene1619",172,239,351,310,337,148
"Gene1620",47,85,74,90,50,86
"Gene1621",40,60,83,108,82,81
"Gene1622",28,43,69,51,72,43
"Gene1623",19,26,28,27,23,19
"Gene1624",83,74,103,56,117,121
"Gene1625",96,169,199,111,77,115
"Gene1626",40,20,47,34,38,52
"Gene1627",32,61,71,36,86,111
"Gene1628",88,77,58,59,84,78
"Gene1629",55,46,36,33,31,41
"Gene1630",80,119,83,106,126,135
"Gene1631",67,119,54,87,77,103
"Gene1632",317,335,371,254,299,529
"Gene1633",86,56,59,47,56,73
"Gene1634",181,143,205,185,200,179
"Gene1635",43,43,78,84,45,55
"Gene1636",77,86,109,128,103,95
"Gene1637",63,40,43,81,35,73
"Gene1638",81,52,52,58,65,39
"Gene1639",35,14,37,33,12,39
"Gene1640",90,111,182,118,279,113
"Gene1641",137,50,122,56,139,48
"Gene1642",87,132,100,80,85,67
"Gene1643",122,197,143,73,108,80
"Gene1644",118,51,132,56,109,152
"Gene1645",214,264,238,258,145,238
"Gene1646",158,174,145,138,191,208
"Gene1647",271,157,137,248,338,240
"Gene1648",34,23,9,40,53,35
"Gene1649",62,64,41,101,59,56
"Gene1650",115,44,38,56,32,63
"Gene1651",32,40,28,46,48,27
"Gene1652",132,87,62,73,60,96
"Gene1653",55,86,72,52,50,45
"Gene1654",20,34,26,23,38,46
"Gene1655",74,54,46,58,40,54
"Gene1656",127,116,150,91,155,79
"Gene1657",49,15,39,26,22,25
"Gene1658",34,76,48,66,41,62
"Gene1659",92,61,128,114,90,134
"Gene1660",133,136,181,186,133,100
"Gene1661",35,39,59,19,65,69
"Gene1662",21,50,57,30,49,51
"Gene1663",89,52,155,72,42,118
"Gene1664",139,188,197,182,129,165
"Gene1665",92,32,49,82,30,47
"Gene1666",226,215,214,191,228,271
"Gene1667",34,39,24,32,32,40
"Gene1668",131,96,128,111,161,154
"Gene1669",46,35,61,64,58,41
"Gene1670",6,7,7,9,14,3
"Gene1671",169,259,194,123,197,205
"Gene1672",3,2,4,2,1,3
"Gene1673",175,211,197,186,166,129
"Gene1674",165,343,136,290,240,385
"Gene1675",39,56,59,52,70,23
"Gene1676",94,51,109,51,74,96
"Gene1677",17,24,21,18,11,18
"Gene1678",16,35,47,16,25,27
"Gene1679",95,109,70,90,60,93
"Gene1680",37,88,29,37,34,30
"Gene1681",69,41,45,48,50,58
"Gene1682",167,84,90,188,152,97
"Gene1683",283,125,251,337,326,327
"Gene1684",38,43,116,39,72,41
"Gene1685",186,132,160,118,252,170
"Gene1686",96,72,155,141,138,150
"Gene1687",51,58,99,108,81,77
"Gene1688",245,234,275,290,194,242
"Gene1689",296,185,208,326,344,361
"Gene1690",12,16,22,18,23,17
"Gene1691",25,76,28,59,38,35
"Gene1692",40,27,24,77,42,59
"Gene1693",49,17,27,32,35,38
"Gene1694",268,111,349,205,251,215
"Gene1695",62,20,15,41,27,21
"Gene1696",87,143,91,58,38,53
"Gene1697",379,85,166,163,209,217
"Gene1698",80,56,103,153,109,96
"Gene1699",72,95,74,71,76,43
"Gene1700",35,55,55,95,39,38
"Gene1701",131,197,120,77,119,127
"Gene1702",32,50,49,29,70,43
"Gene1703",55,49,39,39,52,29
"Gene1704",136,98,169,107,190,143
"Gene1705",48,69,45,37,59,25
"Gene1706",73,55,95,58,47,63
"Gene1707",29,12,27,24,18,18
"Gene1708",66,78,36,103,44,61
"Gene1709",106,79,77,61,37,61
"Gene1710",107,171,200,114,200,248
"Gene1711",58,62,115,129,193,178
"Gene1712",27,32,5,33,20,18
"Gene1713",88,99,73,74,49,76
"Gene1714",132,172,276,218,270,203
"Gene1715",152,232,115,161,115,31
"Gene1716",61,101,112,112,63,75
"Gene1717",291,235,153,166,178,167
"Gene1718",55,30,35,69,33,36
"Gene1719",58,75,49,50,34,61
"Gene1720",80,68,63,74,77,65
"Gene1721",217,108,127,109,215,155
"Gene1722",77,64,53,60,73,79
"Gene1723",107,135,117,55,153,141
"Gene1724",100,40,47,97,71,123
"Gene1725",28,21,28,24,28,28
"Gene1726",69,146,138,115,181,216
"Gene1727",236,151,253,230,400,217
"Gene1728",144,305,125,222,167,351
"Gene1729",213,122,103,91,94,64
"Gene1730",38,33,17,21,75,39
"Gene1731",5,6,3,2,6,9
"Gene1732",1,0,0,0,2,2
"Gene1733",109,79,145,29,68,75
"Gene1734",49,41,36,14,44,30
"Gene1735",173,284,86,148,108,136
"Gene1736",89,114,78,119,107,119
"Gene1737",88,174,133,118,90,147
"Gene1738",17,53,20,44,42,50
"Gene1739",26,91,34,15,25,31
"Gene1740",133,128,64,94,119,75
"Gene1741",156,183,128,119,102,113
"Gene1742",54,124,74,58,71,94
"Gene1743",61,55,54,42,58,57
"Gene1744",34,19,29,34,36,71
"Gene1745",99,87,125,78,94,77
"Gene1746",13,20,21,31,16,27
"Gene1747",93,54,66,103,100,141
"Gene1748",366,297,336,311,338,374
"Gene1749",151,115,173,230,176,166
"Gene1750",17,16,7,15,8,10
"Gene1751",178,133,114,217,141,256
"Gene1752",174,62,74,89,94,43
"Gene1753",94,122,78,93,109,86
"Gene1754",8,16,14,10,12,29
"Gene1755",110,90,81,126,216,90
"Gene1756",51,69,58,33,41,63
"Gene1757",104,42,51,38,73,98
"Gene1758",81,114,100,146,183,87
"Gene1759",104,143,104,188,169,113
"Gene1760",33,19,43,65,29,16
"Gene1761",12,17,12,28,15,10
"Gene1762",55,62,53,66,35,26
"Gene1763",328,155,252,83,200,383
"Gene1764",58,80,117,44,72,45
"Gene1765",34,37,41,29,24,47
"Gene1766",33,34,32,23,37,27
"Gene1767",412,220,438,229,273,190
"Gene1768",213,277,435,211,175,214
"Gene1769",224,64,148,137,190,112
"Gene1770",66,47,45,40,59,58
"Gene1771",69,46,55,64,44,30
"Gene1772",51,20,17,27,23,12
"Gene1773",126,114,77,126,79,81
"Gene1774",19,33,16,15,25,23
"Gene1775",76,67,48,177,151,149
"Gene1776",316,170,138,111,151,122
"Gene1777",126,60,81,173,160,80
"Gene1778",70,125,93,229,88,112
"Gene1779",25,47,34,34,32,32
"Gene1780",40,59,76,65,68,41
"Gene1781",22,32,42,56,20,42
"Gene1782",134,244,142,159,96,250
"Gene1783",141,190,137,143,139,232
"Gene1784",258,264,413,349,200,124
"Gene1785",62,90,72,89,100,97
"Gene1786",69,44,49,57,47,33
"Gene1787",42,21,32,27,26,40
"Gene1788",34,9,22,14,24,26
"Gene1789",76,71,95,50,64,52
"Gene1790",80,79,72,90,78,119
"Gene1791",103,63,60,72,125,70
"Gene1792",27,182,167,164,147,225
"Gene1793",62,39,44,43,45,43
"Gene1794",103,176,131,72,196,89
"Gene1795",3,5,7,6,8,1
"Gene1796",33,26,22,26,12,16
"Gene1797",318,84,132,217,398,399
"Gene1798",66,71,57,55,14,64
"Gene1799",35,29,67,45,65,93
"Gene1800",127,137,262,199,204,155
"Gene1801",349,271,227,626,313,367
"Gene1802",411,227,802,476,227,293
"Gene1803",38,43,24,38,52,34
"Gene1804",20,10,40,18,21,14
"Gene1805",37,102,87,37,78,115
"Gene1806",143,57,153,108,181,223
"Gene1807",20,16,10,19,14,15
"Gene1808",67,66,60,43,50,54
"Gene1809",152,137,152,273,272,328
"Gene1810",8,11,8,17,30,19
"Gene1811",30,62,64,33,109,43
"Gene1812",35,34,42,29,28,49
"Gene1813",181,212,152,221,149,109
"Gene1814",72,37,61,112,84,37
"Gene1815",32,36,26,32,31,39
"Gene1816",102,134,116,172,107,143
"Gene1817",82,116,127,94,121,116
"Gene1818",144,113,99,70,87,118
"Gene1819",37,47,90,35,57,56
"Gene1820",175,177,222,247,150,430
"Gene1821",176,222,266,395,260,279
"Gene1822",245,271,124,247,220,237
"Gene1823",42,34,29,28,14,17
"Gene1824",85,74,104,117,152,84
"Gene1825",21,17,16,21,15,14
"Gene1826",165,190,266,223,172,335
"Gene1827",141,148,121,168,116,121
"Gene1828",51,44,84,103,126,117
"Gene1829",106,83,74,90,103,55
"Gene1830",122,97,98,63,212,200
"Gene1831",101,102,42,89,83,119
"Gene1832",191,206,150,172,107,180
"Gene1833",89,109,57,54,67,30
"Gene1834",75,58,74,79,61,66
"Gene1835",98,132,61,145,171,121
"Gene1836",63,96,43,85,82,36
"Gene1837",72,82,66,118,79,72
"Gene1838",38,42,90,50,59,91
"Gene1839",37,64,61,37,45,39
"Gene1840",32,32,50,36,33,28
"Gene1841",152,136,208,114,88,193
"Gene1842",53,29,47,23,21,12
"Gene1843",26,38,59,25,34,35
"Gene1844",80,170,146,163,93,160
"Gene1845",63,163,169,180,110,106
"Gene1846",63,58,67,83,132,138
"Gene1847",62,37,53,75,46,39
"Gene1848",47,40,65,48,41,59
"Gene1849",112,91,85,87,75,114
"Gene1850",110,111,143,227,161,266
"Gene1851",32,35,35,36,21,43
"Gene1852",87,34,59,27,43,63
"Gene1853",95,76,93,104,80,89
"Gene1854",287,270,229,287,253,232
"Gene1855",32,24,24,29,26,35
"Gene1856",116,90,99,58,52,67
"Gene1857",127,129,170,130,150,112
"Gene1858",213,199,152,148,185,150
"Gene1859",145,199,195,205,159,166
"Gene1860",105,159,167,200,151,53
"Gene1861",70,49,109,75,51,100
"Gene1862",38,37,63,66,15,67
"Gene1863",93,113,97,147,130,112
"Gene1864",198,186,229,145,168,150
"Gene1865",99,127,100,164,122,78
"Gene1866",15,7,10,6,18,9
"Gene1867",91,98,79,113,25,52
"Gene1868",38,27,23,11,19,8
"Gene1869",25,12,22,12,23,21
"Gene1870",87,103,106,140,73,124
"Gene1871",56,65,94,29,28,56
"Gene1872",136,150,300,54,137,109
"Gene1873",149,130,73,69,60,148
"Gene1874",75,73,145,65,106,78
"Gene1875",12,14,24,23,35,22
"Gene1876",66,41,27,38,40,29
"Gene1877",146,138,219,158,116,155
"Gene1878",28,30,13,35,30,18
"Gene1879",135,51,53,41,53,77
"Gene1880",13,27,19,28,30,22
"Gene1881",75,92,124,192,129,106
"Gene1882",148,91,126,181,128,59
"Gene1883",50,24,50,63,36,30
"Gene1884",36,82,63,59,92,50
"Gene1885",72,47,69,59,60,51
"Gene1886",37,27,28,30,31,18
"Gene1887",43,17,31,48,11,34
"Gene1888",294,170,87,197,95,137
"Gene1889",27,34,40,44,62,59
"Gene1890",99,76,114,163,67,144
"Gene1891",87,84,61,74,116,74
"Gene1892",104,67,60,78,40,63
"Gene1893",164,128,87,103,172,102
"Gene1894",137,61,85,57,121,87
"Gene1895",150,139,88,101,142,104
"Gene1896",33,37,23,18,33,19
"Gene1897",81,111,113,74,46,60
"Gene1898",96,40,146,107,64,156
"Gene1899",117,116,55,126,70,90
"Gene1900",161,95,88,74,39,132
"Gene1901",192,114,221,113,100,108
"Gene1902",78,87,50,35,51,36
"Gene1903",120,128,69,112,93,153
"Gene1904",83,107,96,110,71,87
"Gene1905",295,176,139,192,217,149
"Gene1906",91,82,194,137,116,124
"Gene1907",48,74,57,25,38,91
"Gene1908",32,22,32,30,43,13
"Gene1909",151,78,63,177,75,118
"Gene1910",52,104,80,48,62,96
"Gene1911",20,16,16,41,25,21
"Gene1912",7,2,17,15,14,8
"Gene1913",88,68,52,42,66,110
"Gene1914",125,110,117,92,84,31
"Gene1915",35,49,64,20,23,42
"Gene1916",28,53,23,37,53,52
"Gene1917",35,29,20,8,31,15
"Gene1918",225,209,269,229,346,142
"Gene1919",72,146,55,59,91,59
"Gene1920",208,290,263,267,206,417
"Gene1921",143,78,60,114,54,69
"Gene1922",32,17,23,27,31,19
"Gene1923",56,102,118,47,87,72
"Gene1924",36,103,37,72,80,83
"Gene1925",73,51,30,65,57,79
"Gene1926",30,36,29,18,19,28
"Gene1927",145,165,134,217,96,176
"Gene1928",80,73,48,98,77,103
"Gene1929",130,153,99,115,83,88
"Gene1930",132,45,107,126,85,107
"Gene1931",49,54,48,54,31,40
"Gene1932",85,104,37,48,107,91
"Gene1933",24,36,19,46,26,78
"Gene1934",93,99,118,254,129,111
"Gene1935",170,92,199,232,91,82
"Gene1936",13,12,6,14,8,15
"Gene1937",53,49,46,38,57,19
"Gene1938",61,42,34,45,37,34
"Gene1939",28,71,18,15,45,25
"Gene1940",48,44,56,94,92,80
"Gene1941",72,84,146,93,91,82
"Gene1942",41,38,66,33,61,43
"Gene1943",12,13,4,9,9,8
"Gene1944",27,16,43,19,34,12
"Gene1945",203,250,168,158,310,337
"Gene1946",91,114,80,97,70,106
"Gene1947",365,277,371,252,293,375
"Gene1948",176,170,118,150,171,103
"Gene1949",106,104,87,91,127,139
"Gene1950",53,66,79,103,49,45
"Gene1951",119,72,120,156,208,122
"Gene1952",120,92,104,94,108,113
"Gene1953",29,34,57,32,34,61
"Gene1954",107,140,76,44,105,98
"Gene1955",54,33,58,39,34,54
"Gene1956",62,36,63,57,74,29
"Gene1957",164,110,161,121,128,128
"Gene1958",31,65,76,31,42,20
"Gene1959",12,19,14,13,13,13
"Gene1960",137,140,95,114,132,79
"Gene1961",65,121,37,64,110,140
"Gene1962",147,103,346,267,271,134
"Gene1963",119,130,284,198,246,100
"Gene1964",18,12,19,37,16,8
"Gene1965",44,55,39,30,39,36
"Gene1966",79,78,48,119,46,85
"Gene1967",213,214,230,156,176,144
"Gene1968",54,55,90,64,70,74
"Gene1969",53,33,52,36,51,32
"Gene1970",32,29,22,39,44,45
"Gene1971",33,43,19,40,32,21
"Gene1972",72,70,39,85,94,50
"Gene1973",134,98,127,81,74,187
"Gene1974",107,124,63,61,80,68
"Gene1975",20,22,26,19,26,14
"Gene1976",90,37,67,94,49,56
"Gene1977",102,66,60,66,65,83
"Gene1978",146,73,88,74,58,77
"Gene1979",55,60,72,68,52,47
"Gene1980",232,131,130,297,145,294
"Gene1981",47,19,53,21,21,41
"Gene1982",148,189,216,261,193,154
"Gene1983",27,16,32,31,53,15
"Gene1984",26,31,31,48,47,58
"Gene1985",80,67,129,91,102,78
"Gene1986",178,241,99,175,187,109
"Gene1987",68,109,85,77,132,50
"Gene1988",78,126,106,136,83,106
"Gene1989",0,1,1,3,0,1
"Gene1990",5,3,11,5,11,9
"Gene1991",54,63,59,57,40,32
"Gene1992",26,63,89,47,77,59
"Gene1993",194,83,221,159,189,110
"Gene1994",244,196,210,251,242,322
"Gene1995",24,14,6,27,20,40
"Gene1996",33,32,79,19,15,28
"Gene1997",34,44,35,41,48,45
"Gene1998",12,24,17,16,21,23
"Gene1999",459,478,551,357,437,435
"Gene2000",94,97,107,94,157,52
