gene,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
NOISE_14,5.3961,6.6858,4.9963,6.5586,4.3740,7.7100,6.5768,7.4464,7.1579,5.4117,6.0722,5.3329,8.6414,6.6989,5.9343,6.1011,5.4242,5.3872,5.9948,4.1934,6.4860,3.9429,5.7514,6.0011,5.2758,4.6625,6.6137,5.3193,6.8687,6.4763,4.4757,4.6825,6.1402,7.6478,7.2235,6.3520,5.0630,4.9420,5.6407,5.3336
NOISE_15,6.5175,3.6230,4.7848,6.9360,6.0653,5.8803,6.0310,4.3909,5.4021,5.6004,6.0240,7.7428,5.7082,7.7573,6.0234,7.3915,7.4833,6.2040,6.8927,5.5022,5.9796,7.2044,7.1656,4.7835,5.5801,5.8940,4.9742,5.5801,6.2256,7.0908,6.4559,6.6628,6.7682,6.0005,5.7754,6.1551,5.5330,6.1682,7.0594,4.5484
NOISE_16,8.2779,5.6993,5.2231,6.4577,5.8599,6.6673,7.7717,5.7162,5.9628,4.6730,6.8076,5.3023,7.3628,6.6356,5.4032,6.1982,5.2368,6.0002,5.1201,5.9667,5.1581,6.6131,5.8429,6.7866,6.7273,6.4837,7.1027,6.3106,6.7609,4.3643,5.5542,4.4791,3.7312,7.5732,6.4176,7.0695,5.5696,6.5792,5.6467,5.4895
NOISE_17,6.7061,7.7754,7.8810,7.0760,5.9972,7.0409,5.8966,6.0133,4.7477,5.3378,7.2762,8.4255,6.5604,5.8576,4.6225,5.7860,5.7040,6.3989,4.9493,7.1946,4.8886,5.8251,6.3120,5.6786,7.6586,5.9067,6.7126,7.0857,7.0253,6.1935,5.1392,6.4746,5.8254,6.0208,6.4123,8.4081,6.6000,4.9466,6.4360,7.2136
NOISE_18,7.1473,5.3513,7.1993,7.7419,7.0722,4.0939,5.6754,5.2505,5.1171,5.8884,5.1621,6.4316,5.8852,4.3824,7.1402,5.6456,5.7440,7.0793,5.9496,4.0696,5.7762,7.2226,7.9016,6.2213,6.1729,5.2969,4.8757,6.6770,7.1862,3.9067,5.4304,6.6617,5.9437,5.9858,7.3046,6.8785,6.1760,5.3467,6.1948,4.4283
NOISE_19,7.5529,6.7268,6.2819,5.4228,6.5060,5.8233,5.7924,4.8781,5.8108,5.0523,5.6462,5.5397,6.8774,4.3216,7.2381,6.6362,7.2639,5.8541,6.9150,6.7127,5.8607,6.1493,7.0719,7.6519,6.4704,6.3351,4.8650,4.3214,5.6640,5.9720,7.8618,6.2437,5.3746,5.7273,5.5246,3.9609,5.9505,6.1350,7.4494,7.0382
NOISE_20,8.6170,3.5681,8.5602,7.2093,6.3105,6.1986,5.4930,5.8548,5.5822,5.0472,6.2378,6.7137,6.4995,5.7712,8.8271,6.9639,6.8193,7.6283,6.0381,7.0478,5.0785,5.0355,5.4683,6.6976,6.7168,6.4382,5.3028,5.3163,7.0243,3.8082,6.0853,3.6014,5.6479,6.8251,5.8260,6.1529,5.8221,6.0709,5.6501,5.2985
NOISE_21,5.8416,7.2544,4.7865,4.0619,3.5978,5.1066,7.3486,6.8717,6.7869,6.9625,8.0687,7.7369,6.3728,7.7462,5.9521,6.5497,7.0623,6.9466,6.2905,6.4848,6.7228,5.4644,6.9021,3.4944,6.5418,7.0614,5.0146,5.9271,6.3806,5.6776,5.6723,3.5947,5.9672,8.1306,6.6947,6.8875,6.4779,8.0762,4.3298,5.9171
NOISE_22,6.6542,6.2773,7.1452,5.0350,7.0606,5.9467,4.5947,7.8506,5.7889,6.1111,7.4942,7.3332,7.0862,6.8298,4.7303,5.9955,4.2454,6.2366,5.5726,4.2614,8.0936,6.7230,4.4956,6.9474,6.2595,4.8868,4.3640,5.4324,6.9299,7.5126,4.7969,6.0865,6.1420,6.4010,5.3869,5.7986,6.5212,5.0601,4.1807,3.7527
NOISE_23,7.7964,6.6830,5.9172,7.4067,5.7812,7.8714,6.8364,3.6264,6.9125,4.9191,7.1331,5.0300,6.3243,5.2036,6.8645,5.6766,6.7913,4.5610,7.0554,5.7763,5.9376,4.9532,5.7584,4.3885,7.8559,6.7466,7.0305,4.2623,4.8413,4.5286,5.2009,4.7233,5.7005,6.5490,5.9314,6.4553,6.6680,4.7138,6.0549,4.3660
NOISE_24,5.6963,7.1969,5.6888,8.2245,5.0512,8.2705,6.6633,2.9519,3.6871,7.0137,7.5987,6.9778,6.6686,5.0562,7.4774,5.4875,5.7940,6.4976,4.7593,5.0620,6.6126,7.0735,6.3504,6.8420,4.9714,5.4390,6.4009,5.8863,7.7187,5.1737,5.2809,6.5524,6.1159,6.5360,3.9015,4.7721,6.0918,6.4944,5.6864,6.0498
NOISE_25,6.1912,4.7889,5.2411,7.2901,4.7997,6.1700,8.5774,4.2476,5.2938,6.2896,5.7438,7.8256,5.7977,6.5080,5.4861,6.4417,6.5956,5.4004,6.4243,6.3015,8.0756,4.9173,5.7716,5.3321,7.7496,6.3077,6.8073,5.2170,6.4910,6.1139,6.9770,8.4481,5.5445,7.9932,6.9453,5.3272,6.2576,4.9583,5.0452,5.5032
NOISE_26,5.4663,6.7937,5.6312,6.1012,6.3321,5.5631,5.2412,7.2487,6.4230,4.9215,6.2194,5.6540,6.5809,5.5893,6.7063,6.9697,5.4896,5.8831,5.8336,6.0011,5.4834,6.2357,6.3635,5.0166,6.6767,5.0087,6.0167,3.8926,5.0631,5.7896,5.8671,6.2186,6.0026,6.1757,5.4086,6.0537,5.4043,5.9346,5.6127,6.5949
NOISE_27,6.0465,7.4138,7.5849,7.1919,5.9468,5.6550,7.2086,4.0616,6.2366,5.3918,6.2671,5.7858,6.2533,3.8060,4.6258,5.7717,6.4225,5.1587,5.1871,8.1001,6.5456,6.9435,4.5843,4.0467,5.8150,5.8734,5.4933,5.3987,6.1175,7.0652,5.6167,3.1895,7.1650,6.6362,6.1526,5.3609,4.6469,6.4452,6.7167,5.4089
NOISE_28,6.1306,6.3091,4.5709,5.6536,5.5436,7.2738,6.4262,5.7644,6.6669,6.5810,7.0853,6.5832,7.1137,6.3983,4.9297,6.8995,5.5262,5.6051,5.5202,6.4526,6.3263,5.7990,5.7885,6.9984,6.3245,6.1956,6.5417,6.5712,5.2714,7.3201,4.8698,6.7918,6.3976,6.9559,5.0570,6.8662,7.5733,5.3530,5.3576,6.0680
NOISE_29,6.3257,4.8872,6.3859,6.8661,7.6459,6.4463,6.3614,6.1162,4.8545,6.1348,6.4427,5.5608,4.4567,4.9801,6.0048,6.1290,4.8808,5.8567,5.3567,5.2816,4.7721,5.1514,6.7252,3.9728,5.8630,7.4663,6.0353,5.7369,6.2225,6.9385,7.2674,4.9406,4.8376,5.9225,5.8415,4.6323,6.3284,7.4059,7.3766,6.3031
NOISE_30,5.5353,6.3656,5.6994,5.7198,6.9390,5.5708,5.3769,7.5634,5.4836,5.7231,7.0926,4.1396,6.7826,9.0273,3.4090,4.5638,5.9831,7.2257,5.2950,6.0100,5.9068,5.0672,8.3906,7.0021,5.9307,6.5716,6.0529,5.3315,5.4908,4.9188,5.3984,6.6942,6.8831,6.4453,6.3685,5.9249,4.8219,6.7673,5.0427,6.3214
NOISE_31,6.3891,6.8226,6.1720,5.3662,6.1190,5.6013,5.5462,6.0751,6.6093,4.9829,5.1869,4.6322,5.6382,7.0519,7.5541,6.1363,6.1049,5.2010,5.1027,3.9505,5.2028,8.1102,6.2254,5.2036,7.4528,5.3638,5.5282,6.6556,6.2315,3.7679,6.9847,5.6259,7.0498,4.7209,5.6047,7.2155,5.4122,5.5844,4.1527,6.6815
NOISE_32,4.9863,5.2140,4.8221,7.4915,5.6726,6.1249,3.6039,3.8745,5.1306,5.9572,6.8924,5.1080,6.4101,6.7373,6.7929,4.5481,6.9691,6.8753,7.6929,5.6197,5.9496,5.2493,5.8188,5.2045,4.2428,6.0147,4.3161,4.5136,4.0822,7.2027,7.3735,3.9667,6.9191,5.5112,6.5258,6.2272,6.0733,6.3687,6.2782,5.3700
NOISE_33,6.3943,3.4625,6.6977,5.0576,6.3557,6.8037,5.6620,5.4998,6.2834,5.0317,5.4835,5.6972,5.1279,4.0512,7.6351,6.4161,5.1230,7.4541,6.8555,6.0868,5.3715,7.2802,5.2696,6.2722,5.8271,6.5582,5.5310,6.0288,3.8776,6.8077,4.9387,5.4074,5.6446,5.4900,5.4243,6.5436,6.4755,5.8303,5.7883,5.8621
NOISE_34,5.9246,5.8003,5.3980,6.7029,5.2114,4.7577,6.3635,4.8351,5.0170,8.3025,6.1456,6.6722,5.6340,6.9427,7.6909,5.7354,4.8122,7.8721,6.9096,6.7289,6.5688,6.7153,7.3495,5.8333,6.4287,6.9472,4.9466,5.6665,7.1312,6.7915,4.0259,5.5823,6.5660,5.9925,7.5268,6.4150,7.1829,5.4899,5.7279,6.3573
NOISE_35,7.8463,5.7690,6.4187,5.8244,4.9420,7.1428,5.1199,5.7143,4.9800,4.4336,6.1842,5.4637,5.9127,6.7893,7.1224,6.4893,4.8298,5.3380,4.7338,5.8491,5.6546,5.8520,6.4964,5.1730,5.3216,6.9252,4.2193,5.6480,7.0327,8.4054,7.0260,6.6725,5.6648,5.9214,6.3690,4.8911,6.8489,6.5556,6.3725,6.5293
NOISE_36,5.7237,7.2775,5.6984,5.9845,5.7497,5.0389,5.9210,5.9358,5.1130,5.9303,6.1275,5.9254,5.0128,6.1188,6.0777,6.7859,5.6424,4.1043,5.0468,6.4248,3.9542,4.2841,7.1815,7.1951,5.1902,5.5230,5.6297,8.1930,5.9765,6.4039,5.8982,5.2610,7.6371,7.7756,6.5434,6.0001,5.9383,4.4385,4.5751,7.5368
NOISE_37,4.7475,5.5931,8.4524,6.3304,5.5738,5.9522,4.9808,5.1378,6.9671,6.8978,4.4993,7.5332,4.2501,6.6779,5.9117,8.0735,5.6903,5.6596,5.7133,7.3557,5.6378,6.1927,6.8853,6.6211,7.3518,5.3319,3.9035,4.3887,6.5354,4.8915,7.6916,4.2765,4.2104,5.5093,5.1321,5.0640,6.4381,4.5727,8.2958,6.3097
NOISE_38,6.7126,4.9892,8.7993,3.9261,8.8681,5.2696,7.5818,5.3838,4.4749,7.5461,6.8818,5.3274,4.5636,5.8609,6.6760,5.5867,5.8974,7.7220,6.5615,3.1907,7.0052,3.4817,5.1689,5.6201,6.3893,7.3921,7.3872,4.4149,5.2415,5.0905,5.9336,5.3305,5.8166,3.8806,6.5169,5.0151,7.0962,4.7999,5.7301,4.7378
NOISE_39,7.0367,6.5345,4.7912,5.0961,5.8334,5.8947,6.9940,4.7322,5.6263,5.7454,7.1868,4.7589,8.3473,8.3668,5.1031,6.0700,6.5515,6.0588,5.7945,5.9642,6.9772,6.7397,5.7648,5.6526,6.9580,6.7678,5.8224,6.6353,8.9865,5.7716,7.4531,5.1559,5.3835,5.1606,5.0381,6.0845,6.5263,6.4240,5.9851,5.3981
NOISE_40,4.0694,5.9359,7.8500,4.8054,5.6604,5.2093,5.0690,6.8523,4.9236,4.9006,6.9837,5.1022,5.0831,6.0594,6.5576,6.5774,8.4712,6.6202,7.9183,5.0784,4.6146,5.3048,6.0145,6.4952,6.0249,4.0718,7.0850,6.9703,4.0832,3.8939,6.4225,6.2160,6.1409,5.2649,3.3337,6.6039,5.7118,4.8450,5.2857,6.9091
